RA,DEC,R500,M500,Z
207.2325,-25.4419,0.9008,235150000000000.0,0.1269
203.2325,-25.3239,0.861,203850000000000.0,0.1199
316.8012,-25.4381,0.6121,67630000000000.0,0.0381
54.4371,-25.3775,0.5773,103800000000000.0,0.585
53.2925,-24.9447,0.8021,244420000000000.0,0.475
11.4379,-25.2617,0.6431,84270000000000.0,0.112
10.2929,-23.6592,0.4623,31300000000000.0,0.112
308.935,-25.2178,0.4129,20420000000000.0,0.02
309.1662,-22.7892,0.6533,94720000000000.0,0.18
42.87,-24.9494,0.8079,167350000000000.0,0.1134
16.1458,-24.0,0.8762,223940000000000.0,0.1603
56.4833,-24.2803,0.9131,239700000000000.0,0.1057
7.6567,-24.1814,0.7938,162780000000000.0,0.1382
350.3512,-23.2056,0.7774,145520000000000.0,0.089
162.6513,-24.0961,1.0406,392600000000000.0,0.2037
325.0633,-23.6611,1.06,470000000000000.0,0.313
324.77,-23.5522,0.8722,262670000000000.0,0.32
258.1029,-23.3503,1.2205,531230000000000.0,0.028
39.9692,-23.3431,0.656,129850000000000.0,0.45
40.6496,-21.5406,1.09,509250000000000.0,0.314
42.5717,-21.4989,1.0456,399640000000000.0,0.207
42.8242,-20.9294,0.766,178970000000000.0,0.325
317.9162,-23.1497,0.5003,36780000000000.0,0.0333
166.8292,-23.0022,0.7252,115300000000000.0,0.0639
54.5492,-22.94,0.5906,69470000000000.0,0.173
55.0475,-18.5875,0.2707,5680000000000.0,0.0056
228.0525,-22.9164,1.1621,618050000000000.0,0.3152
287.5371,-22.6511,0.704,104680000000000.0,0.056
19.4025,-22.6369,0.6567,99010000000000.0,0.207
24.1008,-18.1997,0.5162,50440000000000.0,0.251
21.8079,-17.7714,0.8337,190060000000000.0,0.1459
324.9658,-22.4733,0.5303,43780000000000.0,0.0328
321.875,-21.9028,0.7588,138590000000000.0,0.113
330.4621,-22.4444,0.7828,145710000000000.0,0.0691
330.9608,-21.5086,0.684,97620000000000.0,0.0732
14.2292,-22.2308,0.5533,53890000000000.0,0.116
26.1742,-22.2286,0.9918,368570000000000.0,0.2781
44.5625,-21.0914,0.7926,159440000000000.0,0.1226
69.28,-20.4572,0.9406,275520000000000.0,0.155
87.21,-21.9119,0.8111,165910000000000.0,0.0928
356.1204,-21.8928,0.7693,144300000000000.0,0.1122
310.8025,-21.735,1.0518,405560000000000.0,0.2041
315.3946,-13.2919,0.5349,44730000000000.0,0.0282
308.7325,-21.7172,1.0045,349790000000000.0,0.1947
305.7567,-20.9486,0.733,118210000000000.0,0.0564
348.2538,-21.6319,0.9286,247580000000000.0,0.0871
349.0312,-20.4553,0.8906,217310000000000.0,0.0822
199.9363,-21.4564,0.7822,159920000000000.0,0.164
146.0429,-21.2778,0.2935,7250000000000.0,0.0077
12.1583,-21.2472,0.6811,94970000000000.0,0.0581
279.9729,-21.1436,0.7655,136130000000000.0,0.068
151.785,-20.5239,0.4776,34270000000000.0,0.105
144.4988,-20.3458,0.5504,49000000000000.0,0.0344
215.4888,-20.16,0.848,194970000000000.0,0.1208
214.2146,-11.9761,0.8491,191330000000000.0,0.0982
329.5838,-20.1044,0.6687,89780000000000.0,0.057
330.6871,-19.0361,0.6238,110060000000000.0,0.438
171.0158,-17.0031,0.6787,136730000000000.0,0.407
116.885,-19.2922,1.365,798550000000000.0,0.1028
150.7771,-19.4297,0.7195,135390000000000.0,0.243
148.3004,-15.9811,0.5225,41770000000000.0,0.0302
50.9979,-19.2761,0.8025,207380000000000.0,0.332
183.0788,-18.2786,1.0892,483270000000000.0,0.269
73.7096,-18.1092,0.5952,61940000000000.0,0.0335
71.2917,-15.8503,0.6646,86420000000000.0,0.036
34.1404,-17.7908,0.7376,214740000000000.0,0.578
339.8183,-17.3294,0.6501,83950000000000.0,0.0751
333.1592,-17.2319,0.4221,24370000000000.0,0.134
333.6096,-17.0233,0.9617,293830000000000.0,0.153
333.3771,-16.9347,0.6995,132070000000000.0,0.297
6.015,-17.0756,0.8722,227570000000000.0,0.189
206.5567,-16.545,0.6572,85140000000000.0,0.0557
198.85,-16.3897,0.5638,51440000000000.0,0.0087
177.9087,-16.3206,0.7974,154510000000000.0,0.0722
339.2529,-15.2689,0.7709,177130000000000.0,0.299
19.0492,-15.9233,0.5523,50000000000000.0,0.0448
14.6175,-14.4275,0.716,114440000000000.0,0.0957
0.4125,-15.6811,0.8021,165570000000000.0,0.1246
358.7979,-15.0081,0.5016,38970000000000.0,0.0857
6.3725,-12.3769,0.95,462320000000000.0,0.5843
193.6954,-15.4444,0.9493,281910000000000.0,0.1506
194.2925,-13.6556,0.3992,18370000000000.0,0.0151
193.9254,-12.655,0.6479,81790000000000.0,0.0585
191.1583,-11.9853,0.9066,232460000000000.0,0.0963
190.1042,-11.7931,0.5879,70000000000000.0,0.193
226.1629,-14.8994,0.751,161070000000000.0,0.284
346.8138,-15.2283,0.9215,247690000000000.0,0.111
28.1721,-13.9703,0.7629,322230000000000.0,0.833
28.2458,-13.7533,0.2476,4340000000000.0,0.005
31.7079,-13.1525,0.763,176060000000000.0,0.321
172.5813,-14.5831,1.0262,340620000000000.0,0.1068
173.8217,-13.5189,0.7455,126220000000000.0,0.0722
146.6375,-14.1639,0.5215,50830000000000.0,0.23
20.7296,-12.7639,0.7654,143660000000000.0,0.123
50.7475,-13.6375,0.7361,160410000000000.0,0.334
269.7621,-13.5544,0.8193,163250000000000.0,0.045
272.255,-4.2439,1.1748,631250000000000.0,0.305
269.4304,-1.1431,0.8798,207620000000000.0,0.0728
323.5688,-13.48,0.9604,274600000000000.0,0.0897
346.7154,-13.4164,0.7103,108510000000000.0,0.0659
346.65,-13.32,0.7719,139310000000000.0,0.0659
184.8325,-13.26,0.8512,187280000000000.0,0.0688
181.64,-7.74,0.63,75880000000000.0,0.068
289.3992,-13.2553,1.067,411390000000000.0,0.177
24.3717,-12.9861,0.9099,265430000000000.0,0.2143
100.0333,-12.8886,1.1889,545070000000000.0,0.135
162.6062,-12.8464,0.522,41090000000000.0,0.0155
162.0029,-11.4031,0.4199,22400000000000.0,0.065
139.5271,-12.0933,1.0658,362430000000000.0,0.0539
57.0363,-12.0261,0.6831,153310000000000.0,0.488
66.4642,-8.5592,0.8905,208610000000000.0,0.0397
88.3625,-5.9675,0.9765,306950000000000.0,0.151
160.3925,-11.3886,0.7513,130710000000000.0,0.0839
109.3625,-11.3314,1.0098,314570000000000.0,0.075
210.4029,-11.1244,0.787,148170000000000.0,0.0698
212.0292,-9.0711,0.5909,60710000000000.0,0.0354
137.6513,-10.5811,0.8627,199360000000000.0,0.0916
356.6767,-10.4697,0.9496,294400000000000.0,0.1911
334.0646,-9.34,0.922,241240000000000.0,0.0825
326.7521,-10.3178,0.7382,123250000000000.0,0.078
37.0562,-10.0958,0.6017,71650000000000.0,0.149
35.8675,-8.87,0.6246,81320000000000.0,0.163
38.5554,-3.9475,0.6255,112130000000000.0,0.447
149.11,-10.07,1.1613,523020000000000.0,0.1634
150.6683,-8.1461,0.6721,152350000000000.0,0.524
329.6271,-9.8078,0.8347,178700000000000.0,0.0809
329.3575,-7.7947,0.737,120330000000000.0,0.0579
46.6196,-9.7306,0.4617,28930000000000.0,0.0342
46.1029,-7.0369,0.5887,66180000000000.0,0.135
46.7696,-6.4808,0.9129,310620000000000.0,0.347
45.5887,-4.3914,1.1078,556810000000000.0,0.35
12.7471,-9.4872,0.7167,127650000000000.0,0.199
76.9404,-9.2544,0.6201,70450000000000.0,0.0398
77.4308,-8.6114,0.5426,51280000000000.0,0.125
24.3142,-9.2028,0.6842,94720000000000.0,0.0409
23.1704,-8.0722,0.9487,280840000000000.0,0.1489
193.2729,-9.2003,0.455,27190000000000.0,0.0146
195.4013,-6.8333,0.8002,158840000000000.0,0.0898
193.5112,-6.7011,1.0473,396980000000000.0,0.1962
219.2229,-9.0036,0.8033,159810000000000.0,0.0842
29.3513,-5.84,0.8779,218080000000000.0,0.1289
224.7646,-8.725,0.8461,190470000000000.0,0.1043
225.3258,-8.5092,0.7589,137930000000000.0,0.108
225.2679,-8.4156,0.6063,110030000000000.0,0.51
289.6308,-8.7081,0.7902,152960000000000.0,0.09
68.5654,-8.5214,0.5519,60910000000000.0,0.24
314.5633,-7.7614,0.7457,127230000000000.0,0.0793
314.0908,-4.6308,0.7302,209620000000000.0,0.583
309.6225,-1.4214,0.6705,180720000000000.0,0.673
248.4746,-7.645,0.8024,161350000000000.0,0.0974
263.9488,-7.3622,0.5956,61510000000000.0,0.0239
261.7442,-3.2953,0.8449,186640000000000.0,0.088
197.8758,-5.8572,0.7234,176330000000000.0,0.461
317.2133,-5.2803,0.6528,110000000000000.0,0.319
316.7046,-5.1653,0.8284,261170000000000.0,0.449
317.1662,-5.1242,0.4844,40390000000000.0,0.222
181.0954,-3.8486,0.5865,74800000000000.0,0.261
181.2621,-3.5419,0.5381,65140000000000.0,0.368
180.2058,-3.4583,0.745,178540000000000.0,0.396
156.9983,-6.7961,0.8553,199360000000000.0,0.1176
155.12,-6.5197,0.6567,84810000000000.0,0.054
336.4625,-6.6033,0.8512,191170000000000.0,0.0897
0.1029,-2.625,0.4817,32970000000000.0,0.0379
339.8933,-6.0039,0.4778,36780000000000.0,0.173
339.8521,-5.7825,0.6878,118160000000000.0,0.242
339.9121,-5.7203,0.7413,148080000000000.0,0.243
191.93,-5.8158,0.5657,69500000000000.0,0.2928
192.1521,-5.8003,0.1583,1130000000000.0,0.0041
296.9142,-5.7042,0.5019,36930000000000.0,0.028
71.6583,-4.3506,0.799,172790000000000.0,0.177
334.5713,-3.8342,0.9526,268040000000000.0,0.0901
334.6687,-3.78,0.8448,186930000000000.0,0.09
54.095,-3.7914,0.9703,303820000000000.0,0.1595
55.1742,-2.6658,0.6464,79460000000000.0,0.0352
357.5379,-3.6528,0.8684,214950000000000.0,0.1466
356.8517,-2.3144,0.4383,24470000000000.0,0.0223
164.2479,-3.6244,0.7768,339290000000000.0,0.8309
162.6475,-2.6,0.9793,314220000000000.0,0.1651
160.6008,0.1378,0.6289,81010000000000.0,0.139
75.3308,-3.5425,0.8094,164620000000000.0,0.0913
76.9,-2.64,0.8665,208660000000000.0,0.1241
42.0083,-3.5375,1.074,424650000000000.0,0.1883
43.2058,-1.2742,0.5432,46640000000000.0,0.0235
19.1654,-3.5031,0.5099,40750000000000.0,0.081
59.7883,-3.3411,0.8778,216450000000000.0,0.122
237.1912,-2.9964,0.8361,183210000000000.0,0.101
197.7579,-3.1767,0.95,415240000000000.0,0.494
197.3208,-1.6125,0.8439,185970000000000.0,0.088
213.1479,-3.1528,0.7099,127000000000000.0,0.221
213.965,0.2589,0.7163,118090000000000.0,0.1259
213.8092,0.5011,0.9452,275370000000000.0,0.1403
123.8692,-3.1419,0.99,336050000000000.0,0.198
122.4821,-2.9822,1.1492,568200000000000.0,0.27
49.6392,-3.0489,0.8786,284220000000000.0,0.37
49.5729,-3.0206,0.7125,151610000000000.0,0.37
52.4229,-2.1961,0.99,446220000000000.0,0.45
73.5821,-2.6639,0.7487,155390000000000.0,0.26
67.4,-2.885,1.12,608820000000000.0,0.399
70.7913,2.1719,0.9344,280160000000000.0,0.19
225.2996,1.6981,0.4377,23990000000000.0,0.005
16.7183,-2.49,0.9897,333220000000000.0,0.1909
16.7096,1.0547,1.0884,474100000000000.0,0.2537
16.2596,2.03,0.9686,314240000000000.0,0.1967
17.0479,2.1761,0.6257,72630000000000.0,0.0436
348.9383,-2.3769,0.5849,58410000000000.0,0.0267
208.57,-2.3628,0.7402,208870000000000.0,0.546
30.4342,-2.2008,1.0767,431370000000000.0,0.196
29.6183,-1.7808,0.8815,228670000000000.0,0.1632
30.5829,-1.1203,0.593,61770000000000.0,0.0427
254.4392,-1.8317,0.5416,46560000000000.0,0.0313
253.9842,-1.2292,0.5882,60190000000000.0,0.0408
153.3658,-1.6117,0.7166,138670000000000.0,0.276
153.4367,0.1086,0.7915,154130000000000.0,0.0927
151.9538,0.5169,0.7042,108930000000000.0,0.096
153.4179,0.9144,0.7265,113770000000000.0,0.0445
228.2125,-1.4797,0.8808,218750000000000.0,0.1223
229.08,0.0978,0.9337,259490000000000.0,0.1181
229.1417,0.9489,0.8839,220530000000000.0,0.1198
226.6242,1.605,0.3572,13050000000000.0,0.006
227.8896,1.7642,0.5252,42750000000000.0,0.0384
147.9458,-1.4758,0.6514,146140000000000.0,0.568
21.42,-1.4072,0.5161,39810000000000.0,0.018
20.4929,0.3575,0.8216,187550000000000.0,0.1756
22.9267,0.5619,0.645,82360000000000.0,0.0798
21.3529,1.7411,0.5035,36970000000000.0,0.0181
21.3746,1.7628,0.4525,26830000000000.0,0.0183
21.1462,4.0136,0.5979,84230000000000.0,0.316
5.0446,0.0917,0.7352,139750000000000.0,0.2124
5.775,4.3536,0.6469,124960000000000.0,0.453
5.5142,4.3772,0.6277,108150000000000.0,0.407
6.6992,5.0239,0.6162,85950000000000.0,0.2529
